DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
20120313;0;198.3000000;198.8000000;196.8100000;197.2500000;34305460
20120314;0;199.5500000;199.8900000;198.0300000;198.5300000;43972420
20120315;0;197.9900000;200.8000000;196.7000000;199.2000000;61484610
20120316;0;199.3000000;199.3000000;196.7300000;197.0100000;26496520
20120319;0;197.8600000;198.5900000;190.6000000;190.7700000;58814290
20120320;0;191.4000000;192.2600000;185.3800000;186.0000000;61640200
20120321;0;186.5000000;188.1900000;183.4600000;185.2600000;62117530
20120322;0;185.0500000;186.6600000;180.9000000;181.4600000;58304660
20120323;0;182.0000000;183.2000000;179.4200000;182.2800000;43926470
20120326;0;183.2000000;185.9500000;181.4200000;184.7600000;43439150
20120327;0;185.7500000;186.1400000;182.5200000;182.7500000;38639520
20120328;0;182.0000000;182.6400000;179.5100000;180.0000000;46981190
20120329;0;179.7700000;180.8800000;176.3300000;177.0500000;51188760
20120330;0;179.3500000;182.1800000;179.2000000;181.3000000;62853050
20120402;0;182.2000000;184.0000000;180.3700000;181.8900000;42843540
20120403;0;183.0000000;185.8000000;182.6000000;185.2000000;45883310
20120404;0;183.2700000;184.5000000;180.5000000;181.2300000;48314190
20120405;0;181.7500000;182.4800000;178.3200000;182.1800000;50604210
20120406;0;182.5400000;182.9500000;177.8000000;178.0700000;30834140
20120409;0;178.0500000;179.8700000;176.2100000;179.8700000;32726460
20120410;0;179.7200000;180.3500000;176.3100000;176.4200000;49246560
20120411;0;175.5000000;177.7200000;174.5000000;176.0100000;53963650
20120412;0;176.6700000;177.1500000;173.5700000;175.7400000;65924150
20120413;0;176.6000000;179.0500000;176.1200000;177.9700000;69545180
20120416;0;177.0000000;178.6200000;174.3100000;174.3100000;51840650
20120417;0;174.7100000;175.4900000;169.0600000;170.9000000;88890640
20120418;0;172.2500000;172.3000000;169.0200000;169.3900000;52529150
20120419;0;169.5700000;172.8000000;169.1600000;171.1500000;61677190
20120420;0;170.8800000;171.3500000;169.6600000;170.9300000;41137410
20120423;0;171.3000000;171.3400000;165.8600000;166.4800000;54144600
20120424;0;167.2300000;167.4700000;163.3900000;163.8900000;59659520
20120425;0;164.9400000;166.1900000;164.2100000;165.0800000;40197470
20120426;0;165.5000000;166.5500000;163.8000000;164.0100000;42672750
20120427;0;164.0900000;169.2900000;163.5000000;168.6900000;59339580
20120428;0;168.5900000;169.5000000;168.3000000;169.2700000;11421800
20120502;0;170.4800000;171.8500000;167.0700000;167.5000000;50851590
20120503;0;167.6000000;170.2400000;166.7500000;169.2500000;38587240
20120504;0;168.4500000;169.0000000;162.1000000;162.7500000;62454150
20120505;0;162.3000000;164.5000000;161.1100000;164.0000000;15766100
20120507;0;161.4900000;166.2500000;160.3100000;165.7300000;24546050
20120508;0;165.9900000;167.0800000;164.0700000;165.0000000;24514300
20120510;0;165.0000000;167.0700000;163.2000000;165.0000000;66321140
20120511;0;159.3200000;159.4600000;156.2200000;158.1500000;57215720
20120512;0;157.7700000;158.6400000;156.7100000;158.0200000;10550590
20120514;0;157.9200000;158.0000000;149.0200000;149.5100000;61885220
